ActorId,obs_date,n_events_Sum_12M,AvgTone_Avg_12M,AvgTone_Max_12M,AvgTone_Min_12M,NumMentions_Sum_12M,NumMentions_Avg_12M,NumSources_Sum_12M,NumSources_Avg_12M,GoldsteinScale_Avg_12M,GoldsteinScale_Max_12M,GoldsteinScale_Min_12M
GOVOPP_JUNTA,12/31/2014,1,1.849217639,1.849217639,1.849217639,6,6,1,1,0,0,0
GOVOPP_PRESIDENT,12/31/2014,3,1.33809099,1.33809099,1.33809099,30,10,3,1,0.666666,3.5,-5
GOVOPP_REGIME,12/31/2014,1,2.51572327,2.51572327,2.51572327,2,2,1,1,-10,-10,-10
GOVPTY_GOVERNMENT,12/31/2014,7,1.37196158,1.910828025,0.8569164,18,2,12,1,-7.142857,-4,-9.5
GOVPTY_GOVERNMENT LAWMAKER,12/31/2014,16,1.762521104,3.742203742,0.878511397,680,42,45,2,1.7125,7,-10
GOVPTY_PRESIDENT,12/31/2014,6,1.583044137,2.715466352,0.871731009,143,23,33,5,-7.333333,-4,-9
GOVPTY_RULING ALLIANCE,12/31/2014,6,3.583178268,4.615384615,3.23943662,124,20,16,2,4.1,7,-4.4
GOVPTY_RULING PARTY,12/31/2014,229,2.698337407,8.854166667,0.92972446,3072,13,433,1,-2.039737,10,-10
GOVPTYCOP_RULING PARTY,12/31/2014,1,2.567760342,2.567760342,2.567760342,10,10,1,1,-0.4,-0.4,-0.4
GOVPTYLEG_RULING PARTY,12/31/2014,11,1.75333216,3.080985915,0.668151448,152,13,11,1,2.118181,7.4,-4
GOVPTYMED_RULING PARTY,12/31/2014,1,2.139037433,2.139037433,2.139037433,8,8,1,1,5,5,5
GOVREB_CABINET,12/31/2014,2,1.752005959,1.902748414,1.601263505,90,45,9,4,0.4,0.4,0.4
GOVREB_GOVERNMENT,12/31/2014,29,2.404587655,5.280528053,0.793650794,146,5,33,1,0.686206,8.3,-10
GOVREB_MAYOR,12/31/2014,2,4.938271605,4.938271605,4.938271605,20,10,2,1,1,1,1
GOVREB_REGIME,12/31/2014,1,1.629169899,1.629169899,1.629169899,1,1,1,1,0.4,0.4,0.4
GOVREL_FOREIGN MINIST,12/31/2014,2,3.062312535,3.079215297,3.045409774,28,14,6,3,-2,-2,-2
GOVREL_MINIST,12/31/2014,1,2.589807853,2.589807853,2.589807853,4,4,1,1,6,6,6
GOVREL_MINIST FOR RELIGIOUS AFFAIRS,12/31/2014,2,1.905327356,2.181025082,1.62962963,7,3,2,1,-0.2,0,-0.4
GOVREL_PRIME MINISTER,12/31/2014,2,-0.832983474,3.72250423,-5.388471178,6,3,2,1,3.45,5,1.9
GOVSEP_AUTHORITIES,12/31/2014,13,2.059645433,6.569343066,1.01010101,91,7,24,1,3.5,3.5,3.5
GOVSEP_GOVERNMENT,12/31/2014,8,1.277729606,1.617440225,0.294117647,36,4,9,1,0.4,6,-9.5
GOVSEP_PRIME MINISTER,12/31/2014,1,1.882452989,1.882452989,1.882452989,28,28,7,7,0.4,0.4,0.4
GOVSPY_ADMINISTRATION,12/31/2014,1,4.350453172,4.350453172,4.350453172,1,1,1,1,0,0,0
GOVSPY_AUTHORITIES,12/31/2014,4,1.361059105,2.120011227,1.05605199,19,4,5,1,-10,-10,-10
GOVSPY_INTERIOR MINIST,12/31/2014,4,2.103757294,3.958529689,1,22,5,4,1,-5,-5,-5
GOVSPY_PREMIER,12/31/2014,2,1.993355482,1.993355482,1.993355482,20,10,2,1,-2,-2,-2
GOVSPY_PRESIDENT,12/31/2014,1,3.092783505,3.092783505,3.092783505,2,2,1,1,-5,-5,-5
GOVUAF_GOVERNMENT,12/31/2014,61,1.562314319,3.098927294,0,1043,17,129,2,-3.304918,10,-10
GRC_ACTIUM,12/31/2014,5,4.468077439,5.947136564,2.249488753,37,7,5,1,1.5,3.4,-4
GRC_ARCADIA,12/31/2014,14,2.703010123,5.439330544,1.051248357,64,4,14,1,-1.1,3,-9.2
GRC_ATHENS,12/31/2014,292,2.24200988,7.331378299,-4.47761194,3202,10,560,1,1.329452,10,-10
GRC_ATHOS,12/31/2014,10,3.491587119,5.223880597,1.196172249,46,4,10,1,3.51,8.3,-4
GRC_ATTICA,12/31/2014,1,0.571428571,0.571428571,0.571428571,10,10,1,1,-5,-5,-5
GRC_CHIOS,12/31/2014,1,7.142857143,7.142857143,7.142857143,5,5,1,1,3.4,3.4,3.4
GRC_CORINTH,12/31/2014,2,3.341015554,4.27184466,2.410186448,16,8,2,1,3,3,3
GRC_CRETE,12/31/2014,34,2.750949659,5.090909091,0.389105058,304,8,84,2,1.058823,7.4,-9
GRC_DELPHI,12/31/2014,3,4.753378999,5.386416862,4.436860068,30,10,3,1,3,7,1
GRC_DORIS,12/31/2014,41,3.226607674,6.25,1.033170132,185,4,44,1,1.49756,7,-5
GRC_GREECE,12/31/2014,2177,2.158101246,9.46969697,-7.749627422,18688,8,4507,2,1.753008,10,-10
GRC_GREEK,12/31/2014,1355,2.106512018,9.294871795,-6.369555547,24902,18,5477,4,1.220811,10,-10
GRC_HELLAS,12/31/2014,30,3.529067624,8.571428571,1.041666667,178,5,30,1,3.113333,10,-5
GRC_ITHACA,12/31/2014,9,4.36437783,6.766917293,2.649350649,29,3,9,1,3.5,10,1.9
GRC_LACONIA,12/31/2014,2,3.994409504,4.592592593,3.396226415,9,4,2,1,3.4,3.4,3.4
GRC_MOUNT ATHOS,12/31/2014,2,3.179633422,4.495912807,1.863354037,8,4,2,1,1.9,1.9,1.9
GRC_MYCENAE,12/31/2014,1,5.328376704,5.328376704,5.328376704,1,1,1,1,-0.4,-0.4,-0.4
GRC_MYTILENE,12/31/2014,4,3.222638184,3.252788104,3.192488263,12,3,4,1,2.35,2.8,1.9
GRC_OLYMPUS,12/31/2014,4,2.818248432,3.862660944,1.77383592,20,5,4,1,0,4,-4
GRC_PELOPONNESE,12/31/2014,1,2.325581395,2.325581395,2.325581395,10,10,1,1,2.8,2.8,2.8
GRC_PELOPONNESUS,12/31/2014,1,7.04845815,7.04845815,7.04845815,5,5,1,1,3,3,3
GRC_RHODES,12/31/2014,224,2.179343102,5.395683453,0,2496,11,483,2,1.466964,9,-10
GRC_SALONIKA,12/31/2014,4,2.037201063,2.037201063,2.037201063,20,5,4,1,1.175,2.8,0
